app_name,platform,sector,text,rating,date,city,version
Jeeny,google_play,نقل,خدمة جيدة والسائقين محترمين,4,2025-04-03,مكة المكرمة,latest
Wasselni,google_play,نقل,الانتظار طويل أحياناً,2,2025-04-03,الرياض,latest
Mrsool,google_play,توصيل,الطعام وصل طازجاً,4,2025-04-03,الخبر,latest
TheChefs,google_play,توصيل,تجربة مميزة جداً,5,2025-04-03,جدة,latest
Sary,google_play,عمل_حر,تجربة جيدة بشكل عام,4,2025-04-03,الرياض,latest
Bolt,google_play,نقل,الأسعار معقولة,4,2025-04-04,الرياض,latest
Bolt,google_play,نقل,التطبيق يعلق أحياناً,2,2025-04-04,الرياض,latest
Jeeny,google_play,نقل,الأسعار مبالغ فيها كثيراً,1,2025-04-04,الرياض,latest
Kayan,google_play,نقل,أفضل تطبيق نقل,5,2025-04-04,الدمام,latest
Jahez,google_play,توصيل,تجربة مميزة جداً,5,2025-04-04,الرياض,latest
Khamsat,google_play,عمل_حر,سهلة الاستخدام للفريلانسر,4,2025-04-04,الدمام,latest
Sary,google_play,عمل_حر,حصلت على عملاء ممتازين,5,2025-04-04,الرياض,latest
Sary,google_play,عمل_حر,فرص موجودة لكن المنافسة عالية,3,2025-04-04,الرياض,latest
Bolt,google_play,نقل,التطبيق يعلق أحياناً,2,2025-04-05,أبها,latest
Jeeny,google_play,نقل,خدمة عادية,3,2025-04-05,الرياض,latest
Wasselni,google_play,نقل,نسبة التطبيق عالية جداً ما تستاهل,1,2025-04-05,الرياض,latest
Mrsool,google_play,توصيل,خدمة رائعة دائماً,5,2025-04-05,الرياض,latest
ToYou,google_play,توصيل,أحياناً تأخير كبير,2,2025-04-05,الرياض,latest
Keeta,google_play,توصيل,الطعام وصل طازجاً,4,2025-04-05,جدة,latest
Mostaql,google_play,عمل_حر,تجربة رائعة ننصح بها,5,2025-04-05,الرياض,latest
Mostaql,google_play,عمل_حر,حصلت على عملاء ممتازين,5,2025-04-05,جدة,latest
HungerStation,google_play,توصيل,تطبيق سهل وتوصيل جيد,4,2025-04-06,جدة,latest
Sary,google_play,عمل_حر,مقبولة للمبتدئين,3,2025-04-06,الخبر,latest
