text,sentiment,confidence,model,app_name,sector,date,rating
تطبيق ممتاز وسهل الاستخدام والسائقين محترمين,إيجابي,0.8,lexicon,Uber,نقل,2025-04-15,5
الأسعار مرتفعة جداً مقارنة بالسابق والانتظار طويل,سلبي,0.7,lexicon,Uber,نقل,2025-04-20,2
التطبيق يعلق كثير ويحتاج تحديث,سلبي,0.7,lexicon,Uber,نقل,2025-05-01,3
خدمة جيدة بشكل عام لكن أحيانا السائق يلغي الرحلة,إيجابي,0.6,lexicon,Uber,نقل,2025-05-10,3
أفضل تطبيق نقل في السعودية بدون منازع,إيجابي,0.7,lexicon,Uber,نقل,2025-06-01,5
كريم أحسن من أوبر في الأسعار والخدمة,محايد,0.5,lexicon,Careem,نقل,2025-04-18,5
السائق ما وصل والتطبيق ما يرد الفلوس,محايد,0.5,lexicon,Careem,نقل,2025-05-05,1
تطبيق ممتاز لكن يحتاج تحسين في خدمة العملاء,إيجابي,0.7,lexicon,Careem,نقل,2025-05-20,4
الكابتن كان محترم جداً ووصلني بالوقت,إيجابي,0.7,lexicon,Careem,نقل,2025-06-15,5
أسعار مرتفعة في أوقات الذروة,سلبي,0.7,lexicon,Careem,نقل,2025-07-01,2
هنقرستيشن أحسن تطبيق توصيل أكل في السعودية,محايد,0.5,lexicon,HungerStation,توصيل,2025-04-12,5
الطلب وصل بارد والتعبئة مو زينة,إيجابي,0.7667,lexicon,HungerStation,توصيل,2025-04-25,2
التوصيل سريع والمطاعم متنوعة,إيجابي,0.7,lexicon,HungerStation,توصيل,2025-05-15,4
خصومات كثيرة ورائعة واسعار معقولة,إيجابي,0.7667,lexicon,HungerStation,توصيل,2025-06-01,5
التطبيق يحتاج وقت طويل للتحميل,محايد,0.5,lexicon,HungerStation,توصيل,2025-06-20,3
جاهز سريع جداً التوصيل ما ياخذ عشر دقائق,إيجابي,0.7,lexicon,Jahez,توصيل,2025-04-10,5
المندوب ضيع الطلب ورجع الفلوس بعد أسبوع,محايد,0.5,lexicon,Jahez,توصيل,2025-05-02,1
تطبيق جاهز ممتاز وسهل الاستخدام,إيجابي,0.7667,lexicon,Jahez,توصيل,2025-05-18,4
العروض والخصومات ممتازة,إيجابي,0.7667,lexicon,Jahez,توصيل,2025-06-10,5
التطبيق يعلق ولا يستجيب أحيانا,سلبي,0.7,lexicon,Jahez,توصيل,2025-07-05,2
مرسول سهل وسريع يوصل أي شي تبيه,إيجابي,0.7667,lexicon,Mrsool,توصيل,2025-04-14,5
أسعار التوصيل مرتفعة مقارنة بالتطبيقات الثانية,سلبي,0.7,lexicon,Mrsool,توصيل,2025-05-01,2
خدمة عملاء ممتازة وسريعة الاستجابة,إيجابي,0.8,lexicon,Mrsool,توصيل,2025-05-25,4
المندوب محترم والطلب وصل سليم,إيجابي,0.7,lexicon,Mrsool,توصيل,2025-06-12,5
التطبيق نزل تحديث وصار أبطأ من قبل,سلبي,0.7,lexicon,Mrsool,توصيل,2025-07-01,3
منصة ساري ممتازة للتجار والموردين,إيجابي,0.7667,lexicon,Sary,عمل_حر,2025-04-22,5
الأسعار منافسة والتوصيل للمحل مباشرة,محايد,0.5,lexicon,Sary,عمل_حر,2025-05-15,4
نعناع خدمة ممتازة وتوصيل سريع للبقالة,إيجابي,0.8,lexicon,Nana,عمل_حر,2025-04-16,5
المنتجات طازجة والأسعار معقولة,محايد,0.5,lexicon,Nana,عمل_حر,2025-05-08,4
التطبيق سهل لكن التوصيل ياخذ وقت,إيجابي,0.7,lexicon,Nana,عمل_حر,2025-06-01,3
Great app for transportation in Saudi Arabia,إيجابي,0.7,lexicon,Uber,نقل,2025-04-20,5
Prices are too high during peak hours,محايد,0.5,lexicon,Uber,نقل,2025-05-12,2
Best ride-hailing app love the captain service,إيجابي,0.7667,lexicon,Careem,نقل,2025-05-01,5
Amazing food delivery selection and speed,إيجابي,0.7,lexicon,HungerStation,توصيل,2025-04-28,5
Can deliver anything not just food amazing,إيجابي,0.7,lexicon,Mrsool,توصيل,2025-05-05,5
