city,city_ar,latitude,longitude,activity_score,date,cluster_label
Riyadh,الرياض,24.7136,46.6753,92.5,2026-03-01,نشاط_عالي
Jeddah,جدة,21.5433,39.1728,85.3,2026-03-01,نشاط_عالي
Mecca,مكة المكرمة,21.3891,39.8579,61.2,2026-03-01,نشاط_متوسط
Medina,المدينة المنورة,24.5247,39.5692,55.8,2026-03-01,نشاط_متوسط
Dammam,الدمام,26.4207,50.0888,78.4,2026-03-01,نشاط_عالي
Khobar,الخبر,26.2172,50.1971,72.1,2026-03-01,نشاط_عالي
Abha,أبها,18.2164,42.5053,35.6,2026-03-01,نشاط_منخفض
Tabuk,تبوك,28.3998,36.5715,28.9,2026-03-01,نشاط_منخفض
Taif,الطائف,21.2854,40.4149,42.3,2026-03-01,نشاط_متوسط
Buraidah,بريدة,26.3260,43.9750,31.7,2026-03-01,نشاط_منخفض
Hail,حائل,27.5219,41.7057,25.4,2026-03-01,نشاط_منخفض
Najran,نجران,17.5656,44.2289,22.1,2026-03-01,نشاط_منخفض
Jazan,جازان,16.8892,42.5511,27.8,2026-03-01,نشاط_منخفض
